region,pos_sig_diff,neg_sig_diff,pos_trend,neg_trend,pos_diff_m2,neg_diff_m2,pos_pixels,neg_pixels,total_pixels,neg_area,pos_area,total_area,pos_diff_km2,neg_diff_km2,pos_diff_hct,neg_diff_hct,net_diff_hct,percent_positive,percent_negative,country
Ennedi Est,0.0,0.0,0.0,0.0,0.0,0.0,0,0,74141497,0.0,0.0,35036575.84635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chad
Ouaddai,0.0013832561860228684,0.0037157847818278123,7.009881792783212e-05,0.000209977734965288,6836.93576786,18365.9832362914,1956008,10394576,222420044,0.223483384,0.042054172,105109727.53905,68.3693576786,183.659832362914,6.83693576786,18.3659832362914,-11.529047468431399,1.800440153645083e-06,9.567860668522569e-06,Chad
Vakaga,0.0001662276623010685,0.00042446377860669174,6.624487184078063e-06,2.6052003321815066e-05,821.47194029,2097.726425409,158027,494101,93901743,0.0106231715,0.0033975805,44379662.73871,8.2147194029,20.977264254090002,0.82147194029,2.097726425409,-1.2762544851189999,1.4545858511829785e-07,4.5480349791830564e-07,Central African Republic
Extreme-Nord,0.0065373873025028175,0.0054254500607747065,0.00030386687716340373,0.0002693981056254252,32312.12165713,26817.586339486,7907255,7246463,227363996,0.1557989545,0.17000598249999999,107445499.26214,323.1212165713,268.17586339486,32.31212165713,26.817586339486002,5.494535317643998,7.2783646115511035e-06,6.670127605359186e-06,Cameroon
Hauts-Bassins,0.0007396119098694342,0.0017280338764789145,3.9871421099931914e-05,8.853981679466324e-05,3655.93573,8540.67699,1106630,2150372,34596549,0.046232998,0.023792545000000002,16350402.06163,36.5593573,85.4067699,3.6559357299999995,8.540676990000001,-4.88474126,1.0186160216258105e-06,1.979345735842637e-06,Burkina Faso
Est,0.003220765117047289,0.008855932060532368,0.00016592419088932672,0.0004749782306760509,15919.203513,43776.3589826,4077892,10351080,192754108,0.22254822,0.087674678,91095097.20051,159.19203513,437.763589826,15.919203513,43.7763589826,-27.8571554696,3.7535636352346487e-06,9.527824050613569e-06,Burkina Faso
Boucle du Mouhoun,0.006337719452339218,0.012108602552865225,0.0003358673388613604,0.0006314447509575306,31328.14758,59852.05,9073480,15300815,197715845,0.3289675225,0.19507982,93430868.9236,313.2814758,598.5205,31.32814758,59.85205,-28.52390242,8.351835843869548e-06,1.4083890101418292e-05,Burkina Faso
Centre,0.00221245329290637,0.0008397014997557374,0.0001134410153480764,4.4966314350788275e-05,10937.27086,4151.20019,3044381,1589791,44488900,0.0341805065,0.0654541915,21021945.50781,109.3727086,41.5120019,10.93727086,4.15120019,6.78607067,2.802251215431722e-06,1.4633496142672065e-06,Burkina Faso
Centre-Est,0.0044884049236608835,0.006430256496391962,0.00023709931092599966,0.00034860942425528205,22183.01616,31780.08358,6523223,10587154,128500515,0.227623811,0.1402492945,60730064.80034,221.8301616,317.8008358,22.18301616,31.78008358,-9.59706742,6.004409297089347e-06,9.745122297262668e-06,Burkina Faso
Sud-Ouest,0.00022411942500294262,0.00013592037213301956,1.0148685086277474e-05,7.87756283393564e-06,1107.785626,671.866851,262266,195777,29659266,0.0042092055,0.005638719,14014630.338539999,11.07785626,6.7186685100000005,1.107785626,0.671866851,0.435918775,2.414071094473445e-07,1.8020620159026622e-07,Burkina Faso
Centre-Nord,0.0006299173706692854,7.62547522152892e-05,3.247930919319016e-05,4.05131071726815e-06,3113.1882764,376.86514700000004,788724,148644,29654820,0.003195846,0.016957566,14014630.338539999,31.131882764,3.76865147,3.1131882764000003,0.376865147,2.7363231294,7.259941471320999e-07,1.3682184643335802e-07,Burkina Faso
Centre-Ouest,0.004090621523987611,0.010212661606875032,0.00021398422570852483,0.0005519262612032787,20218.25228,50476.064770000005,5426401,10729066,123572126,0.230674919,0.1166676215,58394293.07725,202.1825228,504.7606477,20.21825228,50.47606477,-30.25781249,4.9948212124796175e-06,9.875747562130747e-06,Burkina Faso
Sahel,0.0014485627343123135,0.00015633807116089495,7.31771406054896e-05,8.23461386362122e-06,7159.7462051,772.703660446,1826279,333874,197698060,0.007178291,0.0392649985,93430868.9236,71.597462051,7.72703660446,7.1597462051,0.772703660446,6.387042544654,1.6810289341141697e-06,3.0731988614468777e-07,Burkina Faso
Plateau Central,0.0007985740346792006,0.00016029926731492497,4.1967891504283305e-05,8.599565924809502e-06,3946.99071,792.285511,1002808,300648,29654820,0.006463932,0.021560372,14014630.338539999,39.4699071,7.9228551099999995,3.94699071,0.792285511,3.1547051990000003,9.230513318946132e-07,2.767364608493866e-07,Burkina Faso
Nord,0.0010813825531647433,0.00018717569564632617,5.765672645963267e-05,9.322323877596036e-06,5344.490944,925.042343,1352847,324016,39538278,0.006966344,0.0290862105,18686173.78472,53.44490944,9.25042343,5.344490944,0.925042343,4.419448601,1.2452505616225953e-06,2.982459257955311e-07,Burkina Faso
Centre-Sud,0.0002552473600332828,0.0002870631179422,1.3685936785353003e-05,1.6007214734102615e-05,1261.36326,1418.58815,375136,521431,9883458,0.0112107665,0.008065424,4671543.44618,12.6136326,14.1858815,1.26136326,1.4185881500000002,-0.15722489,3.453001815318761e-07,4.799598517773491e-07,Burkina Faso
Atacora,0.0004378223953054969,0.0026314365837986813,2.233439267713111e-05,0.00014226770004935324,2164.0720205,13007.19999,594234,3409081,54372358,0.0732952415,0.012776031,25693488.95399,21.640720205,130.0719999,2.1640720205,13.00719999,-10.8431279695,5.469725861351959e-07,3.137945406884089e-06,Benin
Alibori,0.0016378350592407749,0.008235399316267537,8.026652658299483e-05,0.00045038212937279946,8096.14692383,40706.278435,1903931,8409971,88975576,0.1808143765,0.040934516500000004,42043891.01562,80.9614692383,407.06278435,8.09614692383,40.706278435,-32.610131511169996,1.752505011313674e-06,7.741097929758311e-06,Benin
