geometry,tile_id,country,region,pos_sig_diff,neg_sig_diff,pos_nonsig_diff,neg_nonsig_diff
"POLYGON ((5.389891704717129 14.373044545912343, 5.68933013275697 14.373044545912343, 5.68933013275697 14.672482973952183, 5.389891704717129 14.672482973952183, 5.389891704717129 14.373044545912343))",6_16_0,NER,Tahoua,4.780220097391217e-05,0.00021742264569385737,2.6605622881216077e-06,1.0545653197392032e-05
"POLYGON ((5.389891704717129 14.672482973952183, 5.68933013275697 14.672482973952183, 5.68933013275697 14.971921401992024, 5.389891704717129 14.971921401992024, 5.389891704717129 14.672482973952183))",6_16_3,NER,Tahoua,0.00014313618148757115,0.00014274075043496987,8.180512292841306e-06,6.8916409018493685e-06
"POLYGON ((5.68933013275697 14.373044545912343, 5.98876856079681 14.373044545912343, 5.98876856079681 14.672482973952183, 5.68933013275697 14.672482973952183, 5.68933013275697 14.373044545912343))",6_16_1,NER,Tahoua,5.692060903486095e-05,9.752756028289263e-05,3.593013915790096e-06,4.4090445621854495e-06
"POLYGON ((5.68933013275697 14.672482973952183, 5.98876856079681 14.672482973952183, 5.98876856079681 14.971921401992024, 5.68933013275697 14.971921401992024, 5.68933013275697 14.672482973952183))",6_16_4,NER,Tahoua,0.0001320235715645285,6.516640856287958e-05,7.908575367316375e-06,3.1538983264980957e-06
"POLYGON ((5.98876856079681 14.373044545912343, 6.288206988836651 14.373044545912343, 6.288206988836651 14.672482973952183, 5.98876856079681 14.672482973952183, 5.98876856079681 14.373044545912343))",6_16_2,NER,Tahoua,0.0005930210491927522,2.4395880634196427e-05,3.437120797001003e-05,1.1033998422647196e-06
"POLYGON ((5.98876856079681 14.672482973952183, 6.288206988836651 14.672482973952183, 6.288206988836651 14.971921401992024, 5.98876856079681 14.971921401992024, 5.98876856079681 14.672482973952183))",6_16_5,NER,Tahoua,0.00013243358760217912,4.130469921985141e-05,8.116800910825933e-06,1.9543422397413072e-06
"POLYGON ((5.98876856079681 14.971921401992024, 6.288206988836651 14.971921401992024, 6.288206988836651 15.271359830031864, 5.98876856079681 15.271359830031864, 5.98876856079681 14.971921401992024))",6_16_8,NER,Tahoua,2.692057986285329e-05,8.67122062920295e-06,1.468092587485861e-06,4.1721004286060766e-07
"POLYGON ((6.288206988836651 14.373044545912343, 6.587645416876492 14.373044545912343, 6.587645416876492 14.672482973952183, 6.288206988836651 14.672482973952183, 6.288206988836651 14.373044545912343))",7_16_0,NER,Maradi,0.0004883620253565351,7.8023783846647e-06,2.6645326102036477e-05,3.438468616113142e-07
"POLYGON ((6.288206988836651 14.672482973952183, 6.587645416876492 14.672482973952183, 6.587645416876492 14.971921401992024, 6.288206988836651 14.971921401992024, 6.288206988836651 14.672482973952183))",7_16_3,NER,Maradi,0.00017165506844429566,3.3644367069958974e-05,1.0135470496592272e-05,1.4835246304168472e-06
"POLYGON ((6.288206988836651 14.971921401992024, 6.587645416876492 14.971921401992024, 6.587645416876492 15.271359830031864, 6.288206988836651 15.271359830031864, 6.288206988836651 14.971921401992024))",7_16_6,NER,Maradi,3.106345094441041e-06,6.587946681812934e-06,1.7508766780037405e-07,3.0863426471264565e-07
"POLYGON ((6.587645416876492 14.373044545912343, 6.887083844916332 14.373044545912343, 6.887083844916332 14.672482973952183, 6.587645416876492 14.672482973952183, 6.587645416876492 14.373044545912343))",7_16_1,NER,Maradi,0.0005758659693576111,7.49848988668693e-06,3.0837247304059273e-05,3.2230991711302e-07
"POLYGON ((6.587645416876492 14.672482973952183, 6.887083844916332 14.672482973952183, 6.887083844916332 14.971921401992024, 6.587645416876492 14.971921401992024, 6.587645416876492 14.672482973952183))",7_16_4,NER,Maradi,0.0002053504244127812,5.607535013420279e-06,1.119703916676339e-05,2.1212822637395838e-07
"POLYGON ((6.587645416876492 14.971921401992024, 6.887083844916332 14.971921401992024, 6.887083844916332 15.271359830031864, 6.587645416876492 15.271359830031864, 6.587645416876492 14.971921401992024))",7_16_7,NER,Maradi,4.552496026370039e-07,6.7160173485235e-08,2.5022000645555097e-08,2.6904977984655323e-09
"POLYGON ((6.887083844916332 14.373044545912343, 7.186522272956172 14.373044545912343, 7.186522272956172 14.672482973952183, 6.887083844916332 14.672482973952183, 6.887083844916332 14.373044545912343))",7_16_2,NER,Maradi,0.0005406520882702441,6.5024162010781045e-06,2.642918409295929e-05,2.955613157352806e-07
"POLYGON ((6.887083844916332 14.672482973952183, 7.186522272956172 14.672482973952183, 7.186522272956172 14.971921401992024, 6.887083844916332 14.971921401992024, 6.887083844916332 14.672482973952183))",7_16_5,NER,Maradi,0.00014385205031034636,1.0832671830998559e-05,7.40143637952113e-06,4.433887900828755e-07
"POLYGON ((6.887083844916332 14.971921401992024, 7.186522272956172 14.971921401992024, 7.186522272956172 15.271359830031864, 6.887083844916332 15.271359830031864, 6.887083844916332 14.971921401992024))",7_16_8,NER,Maradi,1.085701574908063e-06,1.050697183554076e-07,5.483602376162122e-08,4.575771638158565e-09
"POLYGON ((7.186522272956172 14.373044545912343, 7.485960700996013 14.373044545912343, 7.485960700996013 14.672482973952183, 7.186522272956172 14.672482973952183, 7.186522272956172 14.373044545912343))",8_16_0,NER,Maradi,0.000676231128125905,4.732082689594747e-06,3.443591162429878e-05,2.005200800182207e-07
"POLYGON ((7.186522272956172 14.672482973952183, 7.485960700996013 14.672482973952183, 7.485960700996013 14.971921401992024, 7.186522272956172 14.971921401992024, 7.186522272956172 14.672482973952183))",8_16_3,NER,Maradi,0.00019896045510583562,1.3862540753628751e-05,1.0893225336920336e-05,5.409297966046849e-07
"POLYGON ((7.186522272956172 14.971921401992024, 7.485960700996013 14.971921401992024, 7.485960700996013 15.271359830031864, 7.186522272956172 15.271359830031864, 7.186522272956172 14.971921401992024))",8_16_6,NER,Maradi,3.5713800305208367e-06,7.06377993757747e-07,2.3769549241382938e-07,3.207614356008495e-08
"POLYGON ((7.485960700996013 14.373044545912343, 7.785399129035852 14.373044545912343, 7.785399129035852 14.672482973952183, 7.485960700996013 14.672482973952183, 7.485960700996013 14.373044545912343))",8_16_1,NER,Maradi,0.00012444437927478798,7.924453847520001e-06,6.4408053073585254e-06,3.303376483221008e-07
